"Gene_ID","Pi_gene_0d","Td_gene_0d","Tw_gene_0d","Pi_gene_4d","Td_gene_4d","Tw_gene_4d","Pi_gene_full","Td_gene_full","Tw_gene_full","DOS_east","W_Danaus_plexippus_East","East_Pin_Pis_Monarch","alpha_East","W_alpha_East","Gene_Type","Gene_function"
"DPOGS215368",0.002413441,-0.972146691,0.004508301,0.016387419,0.309378189,0.014276288,0.006867618,-0.342830129,0.007787066,-0.011148956,0.179669031,0.195390905,-0.087504642,-0.015721874,"Paired_control","Effector"
"DPOGS200129",0,NA,0,0,NA,0,0.001928616,-1.389028735,0.003697456,0.155181769,0.183686577,0,1,0.183686577,"Paired_control","Effector"
"DPOGS211265",0,NA,0,0.007464097,-1.241374607,0.018355227,0.004558405,-0.856063246,0.006589056,0.111991958,0.32194617,0.151473571,0.529506528,0.170472599,"Paired_control","Effector"
"DPOGS215706",0.006972316,-1.181277343,0.010536486,0.023945191,0.290224179,0.021963519,0.010571677,-1.117832551,0.015057022,0.164301273,0.609389671,0.272823585,0.55230028,0.336566086,"Paired_control","Signaling"
"DPOGS215707",0.003242038,-0.341096571,0.003779017,0.016287997,-0.501967101,0.020154759,0.007595153,-1.077467204,0.01105261,0.032082053,0.394673123,0.334942487,0.151342042,0.059730636,"Paired_control","Signaling"
"DPOGS215709",0.000937743,-0.767533475,0.001481113,0.005050505,-1.857327158,0.014016719,0.002291121,-1.375458579,0.004002697,-0.235949209,0.208892617,0.691320133,-2.309452204,-0.482427516,"Paired_control","Signaling"
"DPOGS215711",0.003703704,-1.437768922,0.006486702,0.014101679,-0.651995475,0.017876395,0.005927608,-1.263461136,0.009042189,-0.003302221,0.076755342,0.080597606,-0.050058587,-0.003842264,"Paired_control","Signaling"
"DPOGS215704",0.00676299,-1.392355834,0.010871942,0.004604514,-1.53350378,0.009758475,0.007230907,-1.237657774,0.01073976,-0.026058186,0.083922261,0.115427567,-0.375410584,-0.031505305,"Paired_control","Signaling"
"DPOGS215703",0.002482389,-0.852621099,0.00346592,0.011688803,-1.052959941,0.017044139,0.006594963,-0.587308636,0.00786366,0.047595301,0.07244844,0.020365412,0.718897851,0.052083028,"Paired_control","Signaling"
"DPOGS215716",0.009870506,-0.894062888,0.013194222,0.009711339,-0.663580385,0.0130113,0.011650978,-0.82089186,0.014940301,0.002002856,0.08961142,0.0872387,0.026477868,0.002372719,"Paired_control","Signaling"
"DPOGS215701",0.004008036,-0.89582082,0.005796387,0.036290072,-0.68246746,0.045348207,0.01107524,-0.995529839,0.015244171,-0.004793249,0.014571949,0.019530022,-0.340247727,-0.004958073,"Paired_control","Signaling"
"DPOGS215700",0.003987424,-1.166359254,0.006517436,0.036185611,-0.423011631,0.041352005,0.012771013,-1.015385984,0.017630176,-0.024038655,0.060037523,0.087755576,-0.461678817,-0.027718053,"Paired_control","Signaling"
